step,cos_th1,sin_th1,cos_th2,sin_th2,dth1,dth2,action,reward
233,0.988156,0.153450,0.915944,-0.401305,-0.206547,0.534431,-1.000000,-1.225421
234,0.994789,0.101954,0.958522,-0.285019,-0.298843,0.676943,-1.000000,-1.152921
235,0.999157,0.041055,0.988003,-0.154434,-0.295237,0.630374,-1.000000,-1.055478
236,0.999956,-0.009391,0.998769,-0.049603,-0.195816,0.397904,-1.000000,-1.005564
237,0.999458,-0.032935,0.999992,-0.004102,-0.033714,0.046222,-1.000000,-0.995010
238,0.999755,-0.022157,0.999479,-0.032284,0.138212,-0.321096,-1.000000,-0.958176
239,0.999815,0.019256,0.992034,-0.125972,0.264312,-0.595845,-1.000000,-0.865317
240,0.996989,0.077538,0.966700,-0.255913,0.303132,-0.696860,-1.000000,-0.773832
241,0.991067,0.133363,0.924291,-0.381688,0.243355,-0.601415,-1.000000,-0.771680
242,0.985632,0.168907,0.882921,-0.469521,0.107105,-0.350506,-1.000000,-0.882975
243,0.984850,0.173411,0.864582,-0.502491,-0.062704,-0.021303,-1.000000,-1.045994
244,0.989415,0.145112,0.878676,-0.477418,-0.217467,0.300523,-1.000000,-1.166979
245,0.995834,0.091187,0.916213,-0.400691,-0.312757,0.533011,-1.000000,-1.190869
246,0.999644,0.026697,0.956789,-0.290783,-0.317147,0.610349,-1.000000,-1.139009
247,0.999584,-0.028839,0.983757,-0.179503,-0.223600,0.507163,-1.000000,-1.078162
248,0.998336,-0.057658,0.994776,-0.102081,-0.056727,0.257310,-1.000000,-1.045023
249,0.998756,-0.049855,0.996640,-0.081904,0.133685,-0.056520,-1.000000,-1.016021
250,0.999979,-0.006528,0.992516,-0.122116,0.289494,-0.333531,-1.000000,-0.957634
251,0.998183,0.060256,0.978650,-0.205532,0.362386,-0.487045,-1.000000,-0.887545
252,0.991403,0.130842,0.953592,-0.301102,0.329651,-0.473998,-1.000000,-0.865728
253,0.982817,0.184582,0.926334,-0.376702,0.201781,-0.309418,-1.000000,-0.925850
254,0.978446,0.206504,0.911726,-0.410799,0.016668,-0.053161,-1.000000,-1.033330
255,0.981642,0.190732,0.918472,-0.395486,-0.173796,0.215410,-1.000000,-1.113448
256,0.989980,0.141208,0.942164,-0.335152,-0.316640,0.415304,-1.000000,-1.115636
257,0.997458,0.071257,0.968991,-0.247096,-0.370124,0.479610,-1.000000,-1.055875
258,1.000000,0.000912,0.987035,-0.160505,-0.316980,0.379123,-1.000000,-0.993495
259,0.998789,-0.049207,0.994226,-0.107306,-0.172724,0.140897,-1.000000,-0.962544
260,0.997894,-0.064872,0.994051,-0.108919,0.018684,-0.158872,-1.000000,-0.941179
261,0.999100,-0.042423,0.985811,-0.167857,0.199439,-0.422073,-1.000000,-0.896895
262,0.999945,0.010494,0.963906,-0.266242,0.315859,-0.560425,-1.000000,-0.846394
263,0.997012,0.077252,0.928261,-0.371928,0.335836,-0.526841,-1.000000,-0.849401
